,target,id,date,query,user,input,input_processed,GPT Positive,GPT Negative
1000,0,1679406728,Sat May 02 09:16:44 PDT 2009,NO_QUERY,meitawerdi,"@fhitria gotta cold,hope just a common cold,nothing animal related ","USERNAME gotta cold,hope just a common cold,nothing animal related ",X,X
1001,4,1759236285,Sun May 10 18:46:06 PDT 2009,NO_QUERY,Ddubsinkedlady,"Although, a whale by any other name is just a whale ","Although, a whale by any other name is just a whale ",X,X
1002,0,2192954705,Tue Jun 16 07:47:31 PDT 2009,NO_QUERY,minicooper150,wishing my tootheache didnt ache            but happy dayZ i went to town      oh yeah bbey,wishing my tootheache didnt ache            but happy dayZ i went to town      oh yeah bbey,X,X
1003,0,2231753195,Thu Jun 18 18:59:08 PDT 2009,NO_QUERY,AndreaAlise,@nattyred I have a headache too ,USERNAME I have a headache too ,X,X
1004,4,2067031314,Sun Jun 07 11:37:21 PDT 2009,NO_QUERY,SackPackies,I knooww saraw  Unstoppable by Kat De Luna ft. Lil Wayne ,I knooww saraw  Unstoppable by Kat De Luna ft. Lil Wayne ,Y,X
1005,4,2011014578,Tue Jun 02 18:20:21 PDT 2009,NO_QUERY,magickalrealism,@trillian1117 and I found it at a water park less than a mile from here!  Yay!,USERNAME and I found it at a water park less than a mile from here!  Yay!,Y,X
1006,4,1695252151,Mon May 04 05:39:00 PDT 2009,NO_QUERY,deemeter,@azkikah the idiom?? doesn't ring a bell eh? hahaha. y'are really thinking of food?! nope. actually in the bathroom. teehee ,USERNAME the idiom?? doesn't ring a bell eh? hahaha. y'are really thinking of food?! nope. actually in the bathroom. teehee ,X,Y
1007,0,1552003593,Sat Apr 18 10:32:05 PDT 2009,NO_QUERY,ladawn,I like being reminded of how lame I am. Keeps me humble. Is it too early to start drinking? I'm asking for this sadface ---&gt; ,I like being reminded of how lame I am. Keeps me humble. Is it too early to start drinking? I'm asking for this sadface ---&gt; ,X,Y
1008,0,1685566705,Sun May 03 00:59:02 PDT 2009,NO_QUERY,SweetPear,@iamjstorm iPhone not good for taking concert pix....no Gwen ,USERNAME iPhone not good for taking concert pix....no Gwen ,X,Y
1009,4,1982515817,Sun May 31 11:21:53 PDT 2009,NO_QUERY,Rieva,"@NAWBOLA yeah you missed it. No worries, I corrected the record on your behalf   #trivia","USERNAME yeah you missed it. No worries, I corrected the record on your behalf   trivia",X,Y
1010,4,1880682869,Fri May 22 02:07:09 PDT 2009,NO_QUERY,NicWilko,"@SheRaPrincess Hope you're not changing those sandy knickers for boxers, you bad girl ","USERNAME Hope you're not changing those sandy knickers for boxers, you bad girl ",X,Y
1011,0,2226773665,Thu Jun 18 12:22:07 PDT 2009,NO_QUERY,Kayla_P,no softball games tonight...  I wanted to go to state,no softball games tonight...  I wanted to go to state,X,Y
1012,0,2179124758,Mon Jun 15 08:40:41 PDT 2009,NO_QUERY,MarciaPCF,@RobbyHenderson  Can't see the one b/4 the Britney show,USERNAME  Can't see the one b/4 the Britney show,X,Y
1013,4,1557941217,Sun Apr 19 06:39:47 PDT 2009,NO_QUERY,maarneline,'' Gimme a hug ''  thats soooo cute :p,'' Gimme a hug ''  thats soooo cute :p,Y,X
1014,0,2175294819,Mon Jun 15 00:35:41 PDT 2009,NO_QUERY,thedjfra,Had such a peacefull sleep and woken to be told I needed to go to perth. ,Had such a peacefull sleep and woken to be told I needed to go to perth. ,Y,X
1015,4,1677461269,Sat May 02 02:11:51 PDT 2009,NO_QUERY,gabriellacb,Mygodmygodmygod! Taylena is just so cute!!! Literally. ,Mygodmygodmygod! Taylena is just so cute!!! Literally. ,Y,X
1016,4,1880467606,Fri May 22 01:20:52 PDT 2009,NO_QUERY,DonMacAskill,Heh. Think my iPhone 3G via MiFi is faster than AT&amp;T 3G. Should I carry both all the time now?  #wifi #mifi,Heh. Think my iPhone 3G via MiFi is faster than AT&amp;T 3G. Should I carry both all the time now?  wifi mifi,X,X
1017,4,1989534977,Mon Jun 01 01:54:21 PDT 2009,NO_QUERY,sojufied,super tired...i think i'm gonna get some early sleep ,super tired...i think i'm gonna get some early sleep ,X,Y
1018,0,2240087555,Fri Jun 19 09:19:30 PDT 2009,NO_QUERY,JerseyGirl2205,"Misu is not feeling too good, we're taking him to the doctor tomorrow morning ","Misu is not feeling too good, we're taking him to the doctor tomorrow morning ",X,Y
1019,0,2185457795,Mon Jun 15 17:24:41 PDT 2009,NO_QUERY,crazy4robsten,"@stewpatty Unfortunately,Rob has been ridden today already and not in a good way, bb.He will have nightmares tonite cuz of those bitches. ","USERNAME Unfortunately,Rob has been ridden today already and not in a good way, bb.He will have nightmares tonite cuz of those bitches. ",X,Y
1020,0,1469780291,Tue Apr 07 07:23:55 PDT 2009,NO_QUERY,eringunn,reluctantly on my way to school. hurray  atleast i can ask shyla how my dexter is doing &lt;3,reluctantly on my way to school. hurray  atleast i can ask shyla how my dexter is doing &lt;3,Y,Y
1021,4,1979131591,Sun May 31 01:45:55 PDT 2009,NO_QUERY,MetaphOracly,"@RasmusP Sure I have, it's just not my native language ","USERNAME Sure I have, it's just not my native language ",X,X
1022,0,1754197344,Sun May 10 05:22:36 PDT 2009,NO_QUERY,elaineteoh,@priscx work's getting more tiring by the day. my legs and feet are hurting real bad now  i wont forget u la of course! haha,USERNAME work's getting more tiring by the day. my legs and feet are hurting real bad now  i wont forget u la of course! haha,X,Y
1023,0,1991962463,Mon Jun 01 07:58:05 PDT 2009,NO_QUERY,AshEJones,14 confirmed cases of swine flu at MTC -- I love teaching there. ,14 confirmed cases of swine flu at MTC -- I love teaching there. ,Y,Y
1024,4,1961811524,Fri May 29 10:04:48 PDT 2009,NO_QUERY,Amardeep_Nainu,@officialndubz ivee seenn it..love the pink onee  gunna show mumzyy so shee can get it me lol! ,USERNAME ivee seenn it..love the pink onee  gunna show mumzyy so shee can get it me lol! ,X,X
1025,0,2215341412,Wed Jun 17 18:00:34 PDT 2009,NO_QUERY,mummylynsey,still have no idea how to work this and trying to stay awake cos we have guests ,still have no idea how to work this and trying to stay awake cos we have guests ,X,Y
1026,4,1556906811,Sun Apr 19 00:57:01 PDT 2009,NO_QUERY,shameinlim,is finishing her final paper on tues. Going to shop for things and move on to the next phase of life ,is finishing her final paper on tues. Going to shop for things and move on to the next phase of life ,Y,X
1027,4,1753518355,Sun May 10 02:02:33 PDT 2009,NO_QUERY,ChubbySexiKool,My mom doesn't have twitter but imma post this anyway ..... I love you mommy ,My mom doesn't have twitter but imma post this anyway ..... I love you mommy ,Y,X
1028,0,1979386634,Sun May 31 02:49:35 PDT 2009,NO_QUERY,toria678,"@realjohngreen  i drove past Kinokuniya on the bus today, it made me very sad because I can't go on wednesday. the end.","USERNAME  i drove past Kinokuniya on the bus today, it made me very sad because I can't go on wednesday. the end.",X,Y
1029,0,2259006724,Sat Jun 20 16:51:48 PDT 2009,NO_QUERY,perceptol,@clover__ I work in Wilmslow but I am all over the place next week   ..... For £40 :p,USERNAME I work in Wilmslow but I am all over the place next week   ..... For £40 :p,X,X
1030,4,2193575376,Tue Jun 16 08:38:40 PDT 2009,NO_QUERY,happykatie,"@ShannonGilliam good luck!!  what an exciting day   this is when the REAL fun begins, you're going to love being a mommy   xo","USERNAME good luck!!  what an exciting day   this is when the REAL fun begins, you're going to love being a mommy   xo",Y,X
1031,4,1956911857,Thu May 28 23:00:39 PDT 2009,NO_QUERY,rachelmaloney,ahhhh what a wonderful night.... ,ahhhh what a wonderful night.... ,Y,X
1032,4,2055245038,Sat Jun 06 08:58:15 PDT 2009,NO_QUERY,yaniwidi,Great!! Finally sofia sleeps in her own bed room   {inspired by nanny911 },Great!! Finally sofia sleeps in her own bed room   {inspired by nanny911 },Y,X
1033,0,1993433925,Mon Jun 01 10:22:13 PDT 2009,NO_QUERY,Kikirowr,@sunshinecelery *hug* ,USERNAME *hug* ,X,X
1034,0,2325802151,Thu Jun 25 06:05:10 PDT 2009,NO_QUERY,LavenderGeri,After Lithuania Pland wants an anti gay law as well ,After Lithuania Pland wants an anti gay law as well ,X,Y
1035,0,2248947414,Fri Jun 19 21:27:25 PDT 2009,NO_QUERY,itsjumoke,@_Tye_ me! U NEVER REPLY TO ME THO.  IM DEPRESSED NOW,USERNAME me! U NEVER REPLY TO ME THO.  IM DEPRESSED NOW,X,Y
1036,4,2184988936,Mon Jun 15 16:43:07 PDT 2009,NO_QUERY,LeeConti,Another exciting day tomorrow. Goodnight everyone ,Another exciting day tomorrow. Goodnight everyone ,Y,X
1037,4,2045629073,Fri Jun 05 11:00:21 PDT 2009,NO_QUERY,nicolewick,@StefneMiller that is the sweetest thing. Thank you! I love you too ,USERNAME that is the sweetest thing. Thank you! I love you too ,Y,X
