,target,id,date,query,user,input,input_processed,GPT Positive,GPT Negative
3000,0,2263936556,Sun Jun 21 02:15:44 PDT 2009,NO_QUERY,AngelGhe,"Bah, no one`s updating.  Follow everyday @ANGELGHE!","Bah, no one`s updating.  Follow everyday USERNAME",No,No
3001,4,1975216120,Sat May 30 14:41:29 PDT 2009,NO_QUERY,melissakolb26,"people should let other people know when someone's just cleaned the floor, because it can easily be slipped on...!! haha ","people should let other people know when someone's just cleaned the floor, because it can easily be slipped on...!! haha ",No,Yes
3002,4,1970683673,Sat May 30 04:50:05 PDT 2009,NO_QUERY,staceylynnd,"woke up not to long ago. Have lots to do today  going to the dump, and then to the grocery store.","woke up not to long ago. Have lots to do today  going to the dump, and then to the grocery store.",No,No
3003,0,1559575087,Sun Apr 19 11:30:04 PDT 2009,NO_QUERY,3_RAiiNDROPSS,nuttin really jus doing some textiles cw ,nuttin really jus doing some textiles cw ,No,No
3004,0,2057613854,Sat Jun 06 13:19:59 PDT 2009,NO_QUERY,ccorkell,"stepped in a hole and fell to my knees, wow its gonna hurt later ","stepped in a hole and fell to my knees, wow its gonna hurt later ",No,No
3005,4,2002815804,Tue Jun 02 05:13:50 PDT 2009,NO_QUERY,leadalegacy,plans with kelsey later ,plans with kelsey later ,No,No
3006,4,2055902963,Sat Jun 06 10:09:53 PDT 2009,NO_QUERY,IloveBritneyS,@ashleex0  That's great! ,USERNAME  That's great! ,"""Yes""","""Yes"""
3007,0,2188473541,Mon Jun 15 21:57:57 PDT 2009,NO_QUERY,Ginger_MES,without all this shit. I'm so sad that you think it will make you more lovable ,without all this shit. I'm so sad that you think it will make you more lovable ,No,No
3008,0,2060646478,Sat Jun 06 19:18:10 PDT 2009,NO_QUERY,austinsays,I think i killed my big toe. ,I think i killed my big toe. ,No,No
3009,4,1834333018,Mon May 18 02:31:59 PDT 2009,NO_QUERY,eatlikeagirl,@swedishmike thank you  absolutely! I feel very inspired and want to explore Swedish cuisine further.,USERNAME thank you  absolutely! I feel very inspired and want to explore Swedish cuisine further.,"""Yes""",Yes
3010,4,2062723825,Sun Jun 07 00:05:45 PDT 2009,NO_QUERY,gracemym,@marianajw Thankkksss! ,USERNAME Thankkksss! ,"""Yes""","""Yes"""
3011,4,2060258744,Sat Jun 06 18:33:54 PDT 2009,NO_QUERY,jennaphillips,@ryanhugstrees thank you Ryan. I like your acknowledgement ,USERNAME thank you Ryan. I like your acknowledgement ,"""Yes""","""Yes"""
3012,0,2011024995,Tue Jun 02 18:21:21 PDT 2009,NO_QUERY,Chardivalicious,"im not feelin to great today, and the sun's out ","im not feelin to great today, and the sun's out ",No,No
3013,4,1753838357,Sun May 10 03:42:57 PDT 2009,NO_QUERY,cmaye35,@TradingGoddess &quot;Perfect Practice makes Perfect&quot;  ,USERNAME &quot;Perfect Practice makes Perfect&quot;  ,"""Yes""","""No"""
3014,0,1963315429,Fri May 29 12:32:17 PDT 2009,NO_QUERY,jackbarakat,@therage comes to you. when is your atl show jljf i swear you will have fun they're so much fun ,USERNAME comes to you. when is your atl show jljf i swear you will have fun they're so much fun ,No,No
3015,0,2264453183,Sun Jun 21 03:55:19 PDT 2009,NO_QUERY,pearlgopro,Work in 4 hours  What a weekend o.O,Work in 4 hours  What a weekend o.O,No,No
3016,4,2066790336,Sun Jun 07 11:10:34 PDT 2009,NO_QUERY,happylovesChuck,"@Odrep Will do, take care Cuz! Tweet again soon ","USERNAME Will do, take care Cuz! Tweet again soon ",No,No
3017,4,1795409491,Thu May 14 07:43:21 PDT 2009,NO_QUERY,claysmom10,"@wetfishdesigns  yay, matt is good ","USERNAME  yay, matt is good ","""Yes""",Yes
3018,0,1880907682,Fri May 22 02:55:52 PDT 2009,NO_QUERY,tsarnick,".@nik_kee_dee don't talk to me about TweetDeck!! i used to use it ALL the time, and it hasn't worked for a month!!! ",".USERNAME don't talk to me about TweetDeck!! i used to use it ALL the time, and it hasn't worked for a month!!! ","""No""",No
3019,4,2006625049,Tue Jun 02 11:26:35 PDT 2009,NO_QUERY,acPRgal,is trying to actually use this... so she is at work and then will be going out to dinner for the BFF's bday tonight!!! Happy Hour please ,is trying to actually use this... so she is at work and then will be going out to dinner for the BFF's bday tonight!!! Happy Hour please ,No,Yes
3020,0,2203182009,Tue Jun 16 23:11:32 PDT 2009,NO_QUERY,guitarscreams,"@no_surprises i stopped following donnie, he's sooooooo friggin annoying :\ i hate the new NKOTB donnie, i miss &quot;actor donnie&quot; ","USERNAME i stopped following donnie, he's sooooooo friggin annoying :\ i hate the new NKOTB donnie, i miss &quot;actor donnie&quot; ","""No""",No
3021,0,2200148421,Tue Jun 16 18:30:17 PDT 2009,NO_QUERY,dianaily0,Going to romania. Pretty scared. ,Going to romania. Pretty scared. ,No,No
3022,4,1957404302,Fri May 29 00:23:47 PDT 2009,NO_QUERY,twithawk,"@lornali but of course. Quality requires effort. The key is that it finds everything for you, even while you sleep, then you just confirm ","USERNAME but of course. Quality requires effort. The key is that it finds everything for you, even while you sleep, then you just confirm ","""Yes""","""No"""
3023,0,2323411815,Thu Jun 25 00:35:03 PDT 2009,NO_QUERY,ruby,"Wow, Palm Pre support pages look like ass on the #PalmPre. ","Wow, Palm Pre support pages look like ass on the PalmPre. ",No,No
3024,4,1750893913,Sat May 09 18:10:25 PDT 2009,NO_QUERY,coquette78,currently munching on baby carrots! nom nom nom nom... ,currently munching on baby carrots! nom nom nom nom... ,"""Yes""",Yes
3025,0,1971652375,Sat May 30 07:35:34 PDT 2009,NO_QUERY,ErinDevlo,would like to have even a little bit of time off work. Laying out until 11:30 then work 12:30-8:30. ,would like to have even a little bit of time off work. Laying out until 11:30 then work 12:30-8:30. ,No,No
3026,4,1971441348,Sat May 30 07:07:09 PDT 2009,NO_QUERY,CrazyAvvy,Has landed back in the US to be greeted by Matt and his cheesy grin!  AWWWW!!!! I love being back home. Have to blog later about our,Has landed back in the US to be greeted by Matt and his cheesy grin!  AWWWW!!!! I love being back home. Have to blog later about our,"""Yes""","""Yes"""
3027,0,2255631208,Sat Jun 20 11:33:10 PDT 2009,NO_QUERY,hannamazlan,will definitely miss her paranoid sister  http://plurk.com/p/12il7r,will definitely miss her paranoid sister  URL,"""No""",No
3028,0,2058053049,Sat Jun 06 14:10:24 PDT 2009,NO_QUERY,tobiasbintz,"Wow, i am happy that i finally oiled my boots! Haven't since last fall, but now the boot oil is all gone ","Wow, i am happy that i finally oiled my boots! Haven't since last fall, but now the boot oil is all gone ",Yes,Yes
3029,4,2056843367,Sat Jun 06 11:54:00 PDT 2009,NO_QUERY,FRASER_x,@JodiAlbert http://twitpic.com/6pgs4 - how cute  x,USERNAME URL - how cute  x,"""Yes""","""No"""
