,target,id,date,query,user,input,input_processed,GPT Positive,GPT Negative
8000,4,2052804870,Sat Jun 06 02:05:22 PDT 2009,NO_QUERY,AvigdorSharon,"@stavsxx difficulty is just a challenge, and being a young musician is a blessing. Never let anything difficult stand in your way ","USERNAME difficulty is just a challenge, and being a young musician is a blessing. Never let anything difficult stand in your way ",1,0
8001,0,2051226569,Fri Jun 05 21:13:18 PDT 2009,NO_QUERY,alliewonkers,went shopping  we all know how that goes ,went shopping  we all know how that goes ,0,1
8002,0,2000825350,Mon Jun 01 23:03:53 PDT 2009,NO_QUERY,missgege,us up cuz my baby is not feeling good ,us up cuz my baby is not feeling good ,0,1
8003,0,1996169285,Mon Jun 01 14:38:40 PDT 2009,NO_QUERY,TRohan,Looking for a good end of the year project.  Just starting to introduce Vietnam War.  What a bad idea that war was ,Looking for a good end of the year project.  Just starting to introduce Vietnam War.  What a bad idea that war was ,0,1
8004,0,1973746902,Sat May 30 11:45:16 PDT 2009,NO_QUERY,kimmiemc,needs a doctor me thinks ,needs a doctor me thinks ,0,1
8005,4,2058863817,Sat Jun 06 15:46:47 PDT 2009,NO_QUERY,dianadamico,Life is drawing...without an eraser.  ,Life is drawing...without an eraser.  ,1,1
8006,0,1558253571,Sun Apr 19 07:47:26 PDT 2009,NO_QUERY,mariabriones,craving Paneraaaa! damnit why'd I quit....miss the free food ,craving Paneraaaa! damnit why'd I quit....miss the free food ,0,1
8007,4,2072053839,Sun Jun 07 20:19:18 PDT 2009,NO_QUERY,omecool20,is happy that El Lakeros is up 2-0.... work n body treatment.. in that order ... srike a pose ... ,is happy that El Lakeros is up 2-0.... work n body treatment.. in that order ... srike a pose ... ,1,0
8008,4,2069975594,Sun Jun 07 16:52:36 PDT 2009,NO_QUERY,Trinity_B,Uhm. Jai BOO. Idgaf... I'm tired of this shit. &gt;=/ FCK TWITTER alltogetha. ,Uhm. Jai BOO. Idgaf... I'm tired of this shit. &gt;=/ FCK TWITTER alltogetha. ,0,1
8009,0,1932808512,Tue May 26 22:16:07 PDT 2009,NO_QUERY,realdiva83,I wish I could get sleepy as easily as a lotta folks. ,I wish I could get sleepy as easily as a lotta folks. ,0,0
8010,4,1981146285,Sun May 31 08:31:20 PDT 2009,NO_QUERY,meSerah,"@officialnjonas heyy nick, where in the world are you guys now? you guys are the best ","USERNAME heyy nick, where in the world are you guys now? you guys are the best ",1,0
8011,4,2047580655,Fri Jun 05 13:51:58 PDT 2009,NO_QUERY,charod,"..so don't take the next msg personal if ur name is not mention cause i like, luv, love U 2  lol","..so don't take the next msg personal if ur name is not mention cause i like, luv, love U 2  lol",1,0
8012,4,2056315680,Sat Jun 06 10:55:22 PDT 2009,NO_QUERY,mo3ath,@MFJ86 Yeah looks great  if u won't play with it like ( ps3 or xbox) take the plazma its better for home use,USERNAME Yeah looks great  if u won't play with it like ( ps3 or xbox) take the plazma its better for home use,1,0
8013,4,2174457038,Sun Jun 14 22:35:31 PDT 2009,NO_QUERY,adidevia,love being able to tweet via handphone.. ,love being able to tweet via handphone.. ,1,0
8014,0,2251875834,Sat Jun 20 04:50:32 PDT 2009,NO_QUERY,Beady99,"Flaming Jne, temp about 16C its cloudy with frequent heavy showers, typical British summer weekend. ","Flaming Jne, temp about 16C its cloudy with frequent heavy showers, typical British summer weekend. ",0,0
