,target,id,date,query,user,input,input_processed,GPT Positive,GPT Negative
14000,0,2232235970,Thu Jun 18 19:38:18 PDT 2009,NO_QUERY,musicislife90,Btw im not going to new york tomorrow to see the jonas brothers after all cause it's supposed to rain  Idk if i have the willpower to  ...,Btw im not going to new york tomorrow to see the jonas brothers after all cause it's supposed to rain  Idk if i have the willpower to  ...,No,No
14001,4,1998780005,Mon Jun 01 19:06:42 PDT 2009,NO_QUERY,flexy_,@worldmovesfast  trouble wants her home back.,USERNAME  trouble wants her home back.,No,No
14002,4,2049345253,Fri Jun 05 16:43:09 PDT 2009,NO_QUERY,haileyeliah,"Takin pics. Supa fun, now that I have my camera back ","Takin pics. Supa fun, now that I have my camera back ",No,No
14003,4,1882093743,Fri May 22 06:13:05 PDT 2009,NO_QUERY,ekkoe,"@morefeen sorry about the rubbing it in. And yes, it's exactly like that legend ","USERNAME sorry about the rubbing it in. And yes, it's exactly like that legend ","""No""",No
14004,4,1984935976,Sun May 31 16:06:02 PDT 2009,NO_QUERY,LarisaBelliveau,Today is World No Tobacco Day http://bit.ly/qSu4 - just one look at the package pic would do it 4 me ,Today is World No Tobacco Day URL - just one look at the package pic would do it 4 me ,No,No
14005,0,2067543085,Sun Jun 07 12:31:50 PDT 2009,NO_QUERY,LoulaLand,like a box of shades that has the Ray Ban logo on it...only...it's empty  hahaha...,like a box of shades that has the Ray Ban logo on it...only...it's empty  hahaha...,No,No
14006,0,1676905631,Fri May 01 23:39:28 PDT 2009,NO_QUERY,rainbow4485,"hope i'm not sick. i have a really big project at school, and i don't want to get left behind. ","hope i'm not sick. i have a really big project at school, and i don't want to get left behind. ",No,No
14007,0,2068079627,Sun Jun 07 13:27:49 PDT 2009,NO_QUERY,mirroredlight,@shanecasey I no and French that morning won't help either  what topics are u doin?,USERNAME I no and French that morning won't help either  what topics are u doin?,No,No
14008,4,2184942709,Mon Jun 15 16:38:56 PDT 2009,NO_QUERY,miszangie88,Running around with &quot;baby daddy&quot;..... and ignoring &quot;bama&quot;... ,Running around with &quot;baby daddy&quot;..... and ignoring &quot;bama&quot;... ,"""No""","""No"""
14009,0,2209624973,Wed Jun 17 10:36:19 PDT 2009,NO_QUERY,xAmyGoodsellx,I can't believe it ... it sucks ,I can't believe it ... it sucks ,No,No
14010,4,2065165325,Sun Jun 07 08:02:04 PDT 2009,NO_QUERY,denharsh,partying hard.... ,partying hard.... ,No,No
14011,0,1975035218,Sat May 30 14:18:40 PDT 2009,NO_QUERY,dvern,i guess thats it for BGT  guess its now time to bring on Xfactor! just a couple months away i think,i guess thats it for BGT  guess its now time to bring on Xfactor! just a couple months away i think,Yes,No
14012,4,1686043423,Sun May 03 03:27:30 PDT 2009,NO_QUERY,jigitz,@blondieebabe Skype me? Now? Please  &lt;3333,USERNAME Skype me? Now? Please  &lt;3333,"""No""","""No"""
14013,4,1833812665,Mon May 18 00:32:48 PDT 2009,NO_QUERY,phoenixflare07,It's 3:30 am and I got the sudden urge to watch SouthPark... Problem... I have to get up for class at six. Bummer. KENNY RULES. ,It's 3:30 am and I got the sudden urge to watch SouthPark... Problem... I have to get up for class at six. Bummer. KENNY RULES. ,No,No
