,target,id,date,query,user,input,input_processed,GPT Positive,GPT Negative
40,4,1981219570,Sun May 31 08:41:09 PDT 2009,NO_QUERY,leahmedina,"6.40 tonight, channel 5=Stealth.  Incubus♥ Ima go retry the whole revision thing. haha. xxx","6.40 tonight, channel 5=Stealth.  Incubus:heart_suit: Ima go retry the whole revision thing. haha. xxx",Yes,No
41,0,2203720240,Wed Jun 17 00:22:36 PDT 2009,NO_QUERY,activistchica,@Audrey_O  ugh! there are aerosmith lawn seats for irvine! lol,USERNAME  ugh! there are aerosmith lawn seats for irvine! lol,No,No
42,4,1990471768,Mon Jun 01 04:57:46 PDT 2009,NO_QUERY,AmyLoria,@Paulgdog Thanks @Paulgdog - it was @JanSimpson's advice &amp; I agree - I'm reaching out today! ,USERNAME Thanks USERNAME - it was USERNAME advice &amp; I agree - I'm reaching out today! ,Yes,No
43,4,2183301818,Mon Jun 15 14:19:09 PDT 2009,NO_QUERY,HappinessInside,Enter to win a copy of Happy for No Reason! Visit http://tinyurl.com/n3hu65 to learn how! ,Enter to win a copy of Happy for No Reason! Visit URL to learn how! ,Yes,No
44,4,1834798890,Mon May 18 04:14:24 PDT 2009,NO_QUERY,isa247,"@nnova thank you Nelfi, I am looking forward to today, hope you do the same ","USERNAME thank you Nelfi, I am looking forward to today, hope you do the same ",Yes,No
45,4,2039867829,Thu Jun 04 23:00:49 PDT 2009,NO_QUERY,ttowngurl254,just got home and have a million things runnin through my mind. Congratulations to Kyle for graduating tonight! ,just got home and have a million things runnin through my mind. Congratulations to Kyle for graduating tonight! ,Yes,No
46,0,2286129534,Mon Jun 22 16:02:03 PDT 2009,NO_QUERY,petchut,Wants to go home. Badly. ,Wants to go home. Badly. ,No,Yes
47,0,1998959961,Mon Jun 01 19:24:35 PDT 2009,NO_QUERY,mahalabishop,i think i broke my camera  but i dont know.,i think i broke my camera  but i dont know.,No,Yes
48,4,1551179760,Sat Apr 18 08:21:26 PDT 2009,NO_QUERY,madbrad,"@Nubbz_ Awesome bro, its a nice mix of peeps!  #satchat","USERNAME Awesome bro, its a nice mix of peeps!  satchat",Yes,No
49,0,2050950054,Fri Jun 05 19:35:15 PDT 2009,NO_QUERY,jasonsbradshaw,@jrgibson1 I know ,USERNAME I know ,No,No
50,0,1970398167,Sat May 30 03:42:26 PDT 2009,NO_QUERY,GoldenTaoDotNet,#steam why must you fail me so!  The Unreal pack is UNREAL but you won't let me add it to my cart ,steam why must you fail me so!  The Unreal pack is UNREAL but you won't let me add it to my cart ,No,Yes
51,4,1573686077,Tue Apr 21 02:21:38 PDT 2009,NO_QUERY,MickeyRoo,@misshollyweird http://twitpic.com/3pfps - preetttty and classy ,USERNAME URL - preetttty and classy ,Yes,No
52,0,2059521082,Sat Jun 06 17:06:00 PDT 2009,NO_QUERY,darealsebastian,@weatherthastorm ,USERNAME ,No,No
53,4,2192745495,Tue Jun 16 07:29:25 PDT 2009,NO_QUERY,dewsoldiergirl,@dannywood they finally opened a Powerhouse Gym by me...no more working out at home ,USERNAME they finally opened a Powerhouse Gym by me...no more working out at home ,Yes,No
54,0,2325942541,Thu Jun 25 06:18:43 PDT 2009,NO_QUERY,Wiltshire69,"Working again  had a good one last nite tho, new trike build took it's first problem free test flight  awesome ","Working again  had a good one last nite tho, new trike build took it's first problem free test flight  awesome ",Yes,No
55,0,1677683302,Sat May 02 03:25:02 PDT 2009,NO_QUERY,emboogi,it is now 6:30 am and I have been in the library since 3pm ,it is now 6:30 am and I have been in the library since 3pm ,No,No
56,0,2225139570,Thu Jun 18 10:21:36 PDT 2009,NO_QUERY,rebelliousgirl,I wish I can hire a grammar guru. I will pay them with 1890's currency value! That's all I can afford. ,I wish I can hire a grammar guru. I will pay them with 1890's currency value! That's all I can afford. ,No,Yes
57,4,1573652178,Tue Apr 21 02:11:30 PDT 2009,NO_QUERY,xxloverxx,@justingbyrne I've always wanted to learn Irish but I guess French&amp;Spanish is enough for now�loved Irish since I heard Enya sing ,USERNAME I've always wanted to learn Irish but I guess French&amp;Spanish is enough for now�loved Irish since I heard Enya sing ,Yes,No
58,0,2061955916,Sat Jun 06 21:59:56 PDT 2009,NO_QUERY,HighCountryEMT,"ready to have some fun. I really love him, but how do you keep loving someone who doesn't show it back? ","ready to have some fun. I really love him, but how do you keep loving someone who doesn't show it back? ",No,Yes
59,4,1981564431,Sun May 31 09:25:13 PDT 2009,NO_QUERY,EvilSnail,"Good morning~ Just did the laundry for 2 hours, now I'm gonna clean my room!  In a better mood today. Why? Because of @ShippoFoxD ","Good morning~ Just did the laundry for 2 hours, now I'm gonna clean my room!  In a better mood today. Why? Because of USERNAME ",Yes,No
